X,Y,id,nom,xcoord,ycoord
-77.0344764314532,38.8992260939169,"22",treasury,-77.0344764314532,38.8992260939169
-77.0340709651404,38.8993545388151,"23",building,-77.0340709651404,38.8993545388151
-77.0390836649288,38.8989700043478,"24",renwick,-77.0390836649288,38.8989700043478
-77.0383117951894,38.8980530478116,"25",batG1,-77.0383117951894,38.8980530478116
-77.0347359647739,38.897185668261,"26",batD1,-77.0347359647739,38.897185668261
-77.0387060568724,38.8992396774986,"11",exec,-77.0387060568724,38.8992396774986
-77.0382981765615,38.8972321206995,"12",blocG,-77.0382981765615,38.8972321206995
-77.0347305783701,38.8979025133987,"13",blocD,-77.0347305783701,38.8979025133987
-77.0374076588022,38.897324770532,"14",aileOuest,-77.0374076588022,38.897324770532
-77.0358187264877,38.8975740629154,"15",aileEst,-77.0358187264877,38.8975740629154
-77.0365563850548,38.8974933260102,"16",meridian,-77.0365563850548,38.8974933260102
-77.0365638420595,38.8994345578716,"33",expo,-77.0365638420595,38.8994345578716
